"filename", "language", "jsonc", "comment", "blank", "total"
"/var/www/clubelemental.com/wp-content/plugins/myvideoroom/workspace.code-workspace", "jsonc", 11, 0, 0, 11
"Total", "-", 11, 0, 0, 11
